Taxonomy / Feature	LDA score (log10)	Class	Mean (relative) abundance in that class	p-value
d__Bacteria.p__Gemmatimonadota.c__Gemmatimonadia.o__Gemmatimonadales.f__Gemmatimonadaceae.g__Incertae_Sedis	4.136748693647496			-
d__Bacteria.p__Pseudomonadota.c__Gammaproteobacteria.o__Burkholderiales.f__Nitrosomonadaceae.g__MND1	4.056682690777574			-
d__Bacteria.p__Pseudomonadota.c__Gammaproteobacteria.o__Burkholderiales.__.__	2.313776563845236			-
d__Bacteria.p__Bacillota.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium	3.7525012248418803			-
d__Bacteria.p__Fibrobacterota.c__Fibrobacteria.o__Fibrobacterales.f__Fibrobacteraceae.g__Incertae_Sedis	2.264291160303028			-
d__Bacteria.p__Chloroflexota.c__Anaerolineae.o__Aggregatilineales.f__A4b.g__Incertae_Sedis	3.8062143813961815			-
d__Bacteria.p__Chloroflexota.c__Anaerolineae.o__Aggregatilineales.f__Aggregatilineaceae.g__Incertae_Sedis	3.4220290353372254	Organic	2.9435953340592755	0.027486336
d__Bacteria.p__Myxococcota.c__Polyangiia.o__Polyangiales.f__Polyangiaceae.g__Pajaroellobacter	3.5653210075307054			-
d__Bacteria.p__Pseudomonadota.c__Gammaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae.__	3.082926406191142			-
d__Bacteria.p__Acidobacteriota.c__Holophagae.o__Subgroup_7.f__Incertae_Sedis.g__Incertae_Sedis	3.815993319708319	Organic	3.4185661753175873	0.014305878435429647
d__Bacteria.p__Chloroflexota.c__Chloroflexia.o__Thermomicrobiales.f__Thermomicrobiaceae.g__Incertae_Sedis	2.995017710181875	Organic	2.5387841657218386	0.026843629775969602
d__Bacteria.p__Acidobacteriota.c__Subgroup_18.o__Incertae_Sedis.f__Incertae_Sedis.g__Incertae_Sedis	3.109389065403411	Organic	2.8608746459792376	0.012725353282910894
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Chitinophagales.f__Chitinophagaceae.g__Incertae_Sedis	2.5709009115689914			-
d__Bacteria.p__Actinomycetota.c__Actinobacteria.o__Micromonosporales.f__Micromonosporaceae.g__Incertae_Sedis	3.307042984096984	Organic	2.9080156848831784	0.013902988164384317
d__Bacteria.p__Pseudomonadota.c__Alphaproteobacteria.o__Tistrellales.f__Geminicoccaceae.g__Incertae_Sedis	3.3447184468592464	Organic	2.9531676844921315	0.013902988164384317
d__Bacteria.p__Planctomycetota.c__Planctomycetes.o__Isosphaerales.f__Isosphaeraceae.g__Incertae_Sedis	3.2790142720615494			-
d__Bacteria.p__Acidobacteriota.c__Acidobacteriae.o__Solibacterales.f__Solibacteraceae.g__Candidatus_Solibacter	3.917836175545814			-
d__Bacteria.p__Bdellovibrionota.c__Oligoflexia.o__0319_6G20.f__Incertae_Sedis.g__Incertae_Sedis	3.507329040151274			-
d__Bacteria.p__Planctomycetota.c__Phycisphaerae.o__Tepidisphaerales.f__WD2101_soil_group.g__Incertae_Sedis	3.9771148044312956	Organic	3.4917897269400053	0.014305878435429647
d__Bacteria.p__Acidobacteriota.c__Vicinamibacteria.o__Vicinamibacterales.f__Incertae_Sedis.g__Incertae_Sedis	4.5160550508216915	Organic	4.015971484	0.014305878435429647
d__Bacteria.p__Actinomycetota.c__Acidimicrobiia.o__Acidimicrobiales.f__Acidimicrobiaceae.g__Acidiferrimicrobium	4.001922260832353			-
d__Bacteria.p__Pseudomonadota.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Xanthobacteraceae.__	3.9439694706766097			-
d__Bacteria.p__Actinomycetota.c__Acidimicrobiia.o__Microtrichales.f__Ilumatobacteraceae.g__Desertimonas	3.196344677458742	Organic	2.829239544598498	0.012725353282910894
d__Bacteria.p__Planctomycetota.c__Planctomycetes.o__Pirellulales.f__Pirellulaceae.g__Pirellula	3.710378019660118	Organic	3.27571469	0.014305878435429647
d__Bacteria.p__Chloroflexota.c__AD3.o__Incertae_Sedis.f__Incertae_Sedis.g__Incertae_Sedis	3.893911473276411			-
d__Bacteria.p__Myxococcota.c__Polyangiia.o__Haliangiales.f__Haliangiaceae.g__Incertae_Sedis	4.049620834005977			-
